Course,Core Idea,Topic Code,Topic Name,Stewart 9th,Active Calculus,OpenStax,Rogawski,Briggs
Calculus I,Integrals,Int4,The fundamental theorem of calculus,5.3 The Fundamental Theorem of Calculus,"4.4 The fundamental theorem of calculus
5.2 The second fundamental theorem of calculus",5.3 The Fundamental Theorem of Calculus,"5.3 The fundamental theorem of calculus, part 1
5.4 The fundamental theorem of calculus, part 2",5.3 Fundamental Theorem of calculus
Calculus I,Integrals,Int5,Indefinite integrals and the net change theorem,5.4 Indefinite Integrals and the Net Change Theorem,4.4 The fundamental theorem of calculus,5.4 Integration Formulas and the Net Change Theorem,5.5 Net change as the integral of a rate,6.1 Velocity and Net Change
Calculus I,Integrals,Int6,Logarithmic and exponential integrals,n/a,n/a,"5.6 Integrals Involving Exponential and Logarithmic Functions
6.7 Integrals, Exponential Functions, and Logarithms","7.1 Derivative of f(x) = b&x and the number e
7.3 Logarithms and their derivatives",7.1 Logarithmic and Exponential Functions Revisited
Calculus I,Integrals,Int7,Integration by substitution,5.5 The Substitution Rule,5.3 Integration by substitution,5.5 Substitution,5.6 Substitution method,5.5 Substitution Rule
Calculus I,Integrals,Int8,Area between curves,6.1 Areas Between Curves,6.1 Using definite integrals to find area and length,6.1 Area between Curves,6.1 Area between two curves,6.2 Regions Between Curves
Calculus I,Integrals,Int9,Volume of solids of revolution,"6.2 Volumes
6.3 Volumes by Cylindrical Shells",6.2 Using definite integrals to find volume,"6.2 Determining Volumes by Slicing
6.3 Volumes of Revolution: Cylindrical Shells","6.2 Setting up integrals: Volume, density, average value
6.3 Volumes of revolution
6.4 The method of cylindrical shells","6.3 Volume by Slicing
6.4 Volume by Shells"
Calculus I,Integrals,Int10,Physical applications of integrals,6.4 Work,"6.3 Density, mass, and center of mass
6.4 Physics applications: work, force, and pressure","6.5 Physical Applications
6.6 Moments and Centers of Mass",6.5 Work and Energy,6.7 Physical applications
Calculus I,Integrals,Int11,Arc length and surface area,"8.1 Arc Length
8.2 Area of a Surface of Revolution",n/a,6.4 Arc Length of a Curve and Surface Area,n/a,"6.5 Length of Curves
6.6 Surface Area"
Calculus I,Integrals,Int12,Hyperbolic functions,3.11 Hyperbolic functions,n/a,6.9 Calculus of the Hyperbolic Functions,"7.9 Hyperbolic functions
8.4 Integrals involving hyperbolic and inverse hyperbolic functions",7.3 Hyperbolic Functions
Calculus I,Integrals,Int13,Inverse trigonometric integrals,n/a,n/a,5.7 Integrals Resulting in Inverse Trigonometric Functions,7.8 Inverse trigonometric functions,n/a
Calculus II,Advanced integration,AdvInt1,Integration by parts,7.1 Integration by Parts,5.4 Integration by parts,3.1 Integration by Parts,8.1 Integration by parts,"8.1 Basic Approaches
8.2 Integration by Parts"
Calculus II,Advanced integration,AdvInt2,Trigonometric integrals,7.2 Trigonometric Integrals,n/a,3.2 Trigonometric Integrals,8.2 Trigonometric integrals,8.3 Trigonometric Integrals
Calculus II,Advanced integration,AdvInt3,Trigonometric substitutions,7.3 Trigonometric Substitution,n/a,3.3 Trigonometric Substitution,8.3 Trigonometric substitution,8.4 Trigonometric Substitutions
Calculus II,Advanced integration,AdvInt4,Integration by partial fractions,7.4 Integration of Rational Functions by Partial Fractions,5.5 Other options for finding algebraic antiderivatives,3.4 Partial Fractions,8.5 The method of partial fractions,8.5 Partial Fractions
Calculus II,Advanced integration,AdvInt5,Integration strategies,7.5 Strategy for Integration,n/a,3.5 Other Strategies for Integration,n/a,8.6 Integration Strategies
Calculus II,Advanced integration,AdvInt6,Numerical and table-based integration,"7.6 Integration Using Tables and Technology
7.7 Approximate Integration",5.6 Numerical integration,3.6 Numerical Integration,8.8 Numerical integration,"8.7 Other Methods of Integration
8.8 Numerical Integration"
Calculus II,Advanced integration,AdvInt7,Improper integrals,7.8 Improper Integrals,6.5 Improper integrals,3.7 Improper Integrals,8.6 Improper integrals,8.9 Improper Integrals
Calculus II,Advanced integration,AdvInt8,Probability applications,8.5 Probability,n/a,n/a,8.7 Probability and integration,n/a
Calculus II,Advanced integration,AdvInt9,Advanced physical applications,8.3 Applications to Physics and Engineering,n/a,n/a,n/a,n/a
Calculus II,Advanced integration,AdvInt10,Economics applications,8.4 Applications to Economics and Biology,n/a,n/a,7.5 Compound interest and present value,n/a
Calculus II,Differential Equations,DiffEq1,Introduction to differential equations,9.1 Modeling with Differential Equations,7.1 An introduction to differential equations,4.1 Basics of Differential Equations,10.1 Solving Differential Equations,9.1 Basic Ideas
Calculus II,Differential Equations,DiffEq2,Direction fields and Euler's method,9.2 Direction Fields and Euler’s Method,"7.2 Qualitative behavior of solutions to DEs
7.3 Euler's method",4.2 Direction Fields and Numerical Methods,10.2 Graphical and Numerical Methods,9.2 Direction Fields and Euler’s Method
Calculus II,Differential Equations,DiffEq3,Separable differential equations,9.3 Separable Equations,7.4 Separable differential equations,4.3 Separable Equations,n/a,9.3 Separable Differential Equations 
Calculus II,Differential Equations,DiffEq4,Modeling with differential equations,"9.4 Models for Population Growth
9.6 Predator-Prey Systems","7.5 Modeling with differential equations
7.6 Population growth and the logistic equation",4.4 The Logistic Equation,10.3 The Logistic Equation,9.5 Modeling with Differential Equations
Calculus II,Differential Equations,DiffEq5,Special first-order linear differential equations,9.5 Linear Equations,n/a,4.5 First-order Linear Equations,10.4 First-Order Linear Equations,9.4 Special First-Order Linear Differential Equations 
Calculus II,Sequences and Series,SeqSer1,Sequences,11.1 Sequences,8.1 Sequences,5.1 Sequences,11.1 Sequences,"10.1 An Overview
10.2 Sequences"
Calculus II,Sequences and Series,SeqSer2,Series,11.2 Series,"8.2 Geometric Series
8.3 Series of real numbers",5.2 Infinite Series,11.2 Summing an Infinite Series,10.3 Infinite Series
Calculus II,Sequences and Series,SeqSer3,Convergence and divergence,11.3 The Integral Test and Estimates of Sums,n/a,5.3 The Divergence and Integral Tests,"11.3 Convergence of Series with Positive Terms
11.4 Absolute and Conditional Convergence",10.4 The Divergence and Integral Tests
Calculus II,Sequences and Series,SeqSer4,Comparison tests,"11.4 The Comparison Tests
11.7 Strategy for Testing Series",n/a,5.4 Comparison Tests,n/a,"10.5 Comparison Tests
10.8 Choosing a Convergence Test"
Calculus II,Sequences and Series,SeqSer5,The ratio and root tests,11.6 The Ratio and Root Tests,n/a,5.6 Ratio and Root Tests,11.5 The Ratio and Root Tests,10.7 The Ratio and Root Tests
Calculus II,Sequences and Series,SeqSer6,Alternating series,11.5 Alternating Series and Absolute Convergence,8.4 Alternating series,5.5 Alternating Series,n/a,"10.6 Alternating Series
"
Calculus II,Sequences and Series,SeqSer7,Taylor series,"11.10 Taylor and Maclaurin Series
11.11 Applications of Taylor Polynomials",8.5 Talyor polynomials and Taylor series,"6.3 Taylor and Maclaurin Series
6.4 Working with Taylor Series",11.7 Taylor Series,"11.3 Taylor Series
11.4 Working with Taylor Series"
Calculus II,Sequences and Series,SeqSer8,Power series and functions ,"11.8 Power Series
11.9 Representations of Functions as Power Series",8.6 Power series,"6.1 Power Series and Functions
6.2 Properties of Power Series",11.6 Power Series,"11.1 Approximating Functions with Polynomials
11.2 Properties of Power Series"
Calculus II,Parametric Equations and Polar Coordinates,ParamPol1,Parametric equations,"10.1 Curves Defined by Parametric Equations
10.2 Calculus with Parametric Curves",n/a,"7.1 Parametric Equations
7.2 Calculus of Parametric Curves","12.1 Parametric Equations
12.2 Arc Length and Speed ",12.1 Parametric Equations
Calculus II,Parametric Equations and Polar Coordinates,ParamPol2,Polar coordinates,"10.3 Polar Coordinates
10.4 Calculus in Polar Coordinates",n/a,7.3 Polar Coordinates,12.3 Polar Coordinates ,"12.2 Polar Coordinates
12.3 Calculus in Polar Coordinates"
Calculus II,Parametric Equations and Polar Coordinates,ParamPol3,Area and arc length in polar coordinates,n/a,n/a,7.4 Area and Arc Length in Polar Coordinates,12.4 Area and Arc Length in Polar Coordinates ,n/a
Calculus II,Parametric Equations and Polar Coordinates,ParamPol4,Conic sections,"10.5 Conic Sections
10.6 Conic Sections in Polar Coordinates",n/a,7.5 Conic Sections,12.5 Conic Sections,12.4 Conic Sections
